group,image,CWE-476,CWE-416,CWE-125,CWE-787,CWE-190,CWE-119,CWE-401,CWE-400,CWE-362,CWE-122
C,alpine:3.19,0,0,0,0,0,0,0,0,0,0
C,nginx:latest,9,3,7,4,5,10,3,2,2,5
C,node:20,30,6,28,30,17,44,18,23,4,23
C,python:3.12,24,6,34,19,12,46,16,15,2,22
B,nginx:1.19,30,41,65,77,42,15,9,13,3,3
B,node:14,44,22,36,69,47,28,24,39,8,9
B,python:3.8,43,17,60,53,32,54,24,26,4,41
A,vulnerables/web-dvwa:latest,44,42,105,76,69,23,12,14,5,1
A,bkimminich/juice-shop:latest,1,0,1,0,0,1,1,5,0,0
